[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1662291436.392000 9/4/2022, 1:37:16 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 9.700
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 
INFO, COMMENT, 
INFO, SEQUENCE FILE: M(H)-5t.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1662292648.496,,1.304615e+002,1.999559e+000,3.266943e-005,0.000000e+000,2.630905e-001,0.000000e+000,3,7.642649e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.896786e-005,0,,0,
1662292657.216,,1.304615e+002,1.999995e+000,3.260115e-005,0.000000e+000,2.482743e-001,0.000000e+000,3,8.115343e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.896786e-005,0,,0,
1662292671.936,,1.413831e+002,1.999705e+000,3.584909e-005,0.000000e+000,2.717009e-001,0.000000e+000,3,7.874705e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.940033e-004,0,,0,
1662292680.416,,1.413831e+002,2.000025e+000,3.464591e-005,0.000000e+000,2.447291e-001,0.000000e+000,3,8.104739e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.450777e-004,0,,0,
1662292695.146,,1.503598e+002,1.999792e+000,3.763504e-005,0.000000e+000,2.726337e-001,0.000000e+000,3,7.865008e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,3.199577e-004,0,,0,
1662292703.917,,1.503598e+002,2.000010e+000,3.706437e-005,0.000000e+000,2.523780e-001,0.000000e+000,3,8.018178e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.899170e-004,0,,0,
1662292719.397,,1.608326e+002,1.999821e+000,4.013123e-005,0.000000e+000,2.647757e-001,0.000000e+000,3,8.025142e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.098747e-004,0,,0,
1662292728.367,,1.608326e+002,2.000198e+000,3.940769e-005,0.000000e+000,2.664563e-001,0.000000e+000,3,7.833557e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.451969e-004,0,,0,
1662292743.587,,1.714552e+002,1.999865e+000,4.261518e-005,0.000000e+000,2.725022e-001,0.000000e+000,3,7.681412e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.390810e-004,0,,0,
1662292752.067,,1.714552e+002,2.000068e+000,4.235056e-005,0.000000e+000,2.532125e-001,0.000000e+000,3,7.968936e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.158714e-004,0,,0,
1662292767.087,,1.802822e+002,1.999676e+000,4.552031e-005,0.000000e+000,2.711566e-001,0.000000e+000,3,7.935573e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.610683e-004,0,,0,
1662292775.837,,1.802822e+002,2.000112e+000,4.432704e-005,0.000000e+000,2.703354e-001,0.000000e+000,3,7.828837e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.884865e-005,0,,0,
1662292791.057,,1.907551e+002,1.999923e+000,4.766151e-005,0.000000e+000,2.726969e-001,0.000000e+000,3,7.887775e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.068613e-004,0,,0,
1662292799.787,,1.907551e+002,2.000184e+000,4.669985e-005,0.000000e+000,2.643404e-001,0.000000e+000,3,7.804826e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.899170e-004,0,,0,
1662292814.507,,2.016767e+002,1.999807e+000,5.066711e-005,0.000000e+000,2.775133e-001,0.000000e+000,3,7.907911e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.069805e-004,0,,0,
1662292823.007,,2.016767e+002,2.000213e+000,5.036288e-005,0.000000e+000,2.720267e-001,0.000000e+000,3,7.875289e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.793571e-005,0,,0,
