[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1662036831.132000 9/1/2022, 2:53:51 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 9.700
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 
INFO, COMMENT, 
INFO, SEQUENCE FILE: MT-350K^-0.5T.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1662037473.984,,5.000000e+003,4.926884e+001,9.645281e-005,0.000000e+000,1.402545e-001,0.000000e+000,3,3.865643e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.497284e-001,0,,0,
1662037484.384,,5.000000e+003,5.018591e+001,8.858561e-005,0.000000e+000,6.071840e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.477524e-001,0,,0,
1662037493.484,,5.000000e+003,5.091470e+001,9.168818e-005,0.000000e+000,1.598654e-001,0.000000e+000,3,3.701455e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.444603e-001,0,,0,
1662037502.205,,5.000000e+003,5.169067e+001,8.961896e-005,0.000000e+000,1.686178e-001,0.000000e+000,3,3.630855e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.356812e-001,0,,0,
1662037511.425,,5.000000e+003,5.245799e+001,8.757272e-005,0.000000e+000,1.787443e-001,0.000000e+000,3,3.560752e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.430183e-001,0,,0,
1662037522.895,,5.000000e+003,5.335642e+001,8.502998e-005,0.000000e+000,1.923766e-001,0.000000e+000,3,3.454562e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.406227e-001,0,,0,
1662037543.865,,5.000000e+003,5.510253e+001,8.061316e-005,0.000000e+000,2.155570e-001,0.000000e+000,3,3.250566e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.187782e-001,0,,0,
1662037553.085,,5.000000e+003,5.590333e+001,7.877489e-005,0.000000e+000,2.260826e-001,0.000000e+000,3,3.177206e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.205025e-001,0,,0,
1662037563.305,,5.000000e+003,5.674461e+001,7.655977e-005,0.000000e+000,2.381006e-001,0.000000e+000,3,3.060920e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,7.123299e-001,0,,0,
1662037587.085,,5.000000e+003,5.872759e+001,7.005921e-005,0.000000e+000,2.735175e-001,0.000000e+000,3,2.635398e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.107903e-001,0,,0,
1662037596.935,,5.000000e+003,5.955593e+001,6.712594e-005,0.000000e+000,3.041112e-001,0.000000e+000,3,2.319633e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.262909e-001,0,,0,
1662037606.155,,5.000000e+003,6.025788e+001,6.459790e-005,0.000000e+000,3.188536e-001,0.000000e+000,3,1.993907e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.935806e-001,0,,0,
1662037615.125,,5.000000e+003,6.108337e+001,6.279697e-005,0.000000e+000,3.433377e-001,0.000000e+000,3,1.763324e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.110497e-001,0,,0,
1662037625.845,,5.000000e+003,6.190910e+001,6.073395e-005,0.000000e+000,3.594881e-001,0.000000e+000,3,1.483600e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.952095e-001,0,,0,
1662037635.095,,5.000000e+003,6.269138e+001,5.863732e-005,0.000000e+000,3.733408e-001,0.000000e+000,3,1.216343e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.926880e-001,0,,0,
1662037643.815,,5.000000e+003,6.342530e+001,5.642671e-005,0.000000e+000,3.843091e-001,0.000000e+000,3,9.194993e-002,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.055794e-001,0,,0,
1662037655.785,,5.000000e+003,6.445809e+001,5.296975e-005,0.000000e+000,3.962752e-001,0.000000e+000,3,4.017388e-002,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.011505e-001,0,,0,
1662037666.755,,5.000000e+003,6.536192e+001,4.940489e-005,0.000000e+000,3.993184e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.871338e-001,0,,0,
1662037697.225,,5.000000e+003,6.790541e+001,3.799070e-005,0.000000e+000,1.869567e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.288834e-001,0,,0,
1662037706.445,,5.000000e+003,6.866550e+001,6.991538e-006,0.000000e+000,-1.012081e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.831741e-001,0,,0,
1662037723.145,,5.000000e+003,7.008279e+001,2.005987e-005,0.000000e+000,-1.012823e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.816422e-001,0,,0,
1662037733.115,,5.000000e+003,7.090582e+001,3.046723e-005,0.000000e+000,-9.722277e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.814758e-001,0,,0,
1662037742.335,,5.000000e+003,7.172723e+001,4.092986e-005,0.000000e+000,-9.264110e-001,0.000000e+000,3,1.160899e-003,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.833664e-001,0,,0,
1662037751.305,,5.000000e+003,7.249859e+001,5.085801e-005,0.000000e+000,-8.926562e-001,0.000000e+000,3,2.675955e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.791168e-001,0,,0,
