Energy	20221103_0125_Cr_22151a_75K_60deg_6T_minus_0000	20221103_0129_Cr_22151a_75K_60deg_6T_plus_0000	20221103_0133_Cr_22151a_75K_60deg_6T_plus_0000	20221103_0136_Cr_22151a_75K_60deg_6T_minus_0000	20221103_0139_Cr_22151a_75K_60deg_6T_minus_0000	20221103_0142_Cr_22151a_75K_60deg_6T_plus_0000	c+ H+	c- H+	c+ H-	c- H-	XMCD H+	XMCD H-	XAS	XMCD	XAS normalized by jump	XMCD normalized by XAS jump
eV	cminus fieldplus	cplus fieldplus					arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units
			cplus fieldplus	cminus fieldplus	cminus fieldplus	cplus fieldplus					c-H+ - c+H+	c-H- - c+H-		XMCD H+ - XMCD H-		
565.089	0.115057092642637	0.110798634735196	0.109410750930108	0.108643970461906	0.108117989224311	0.107660737025514	0.108535743977811	0.108380979843108	0	0	-1.54764134702931E-4	0	0.21691672382092	-1.54764134702931E-4	-0.00718830586158435	-4.79109526887796E-4
565.1	0.115008090937359	0.110801327231416	0.109375785937427	0.108629272346979	0.108082264279284	0.107669616676327	0.108522701306877	0.108355768313132	0	0	-1.66932993745539E-4	0	0.216878469620009	-1.66932993745539E-4	-0.00723939772100167	-5.16781150935959E-4
565.111	0.115051629906295	0.110787432716572	0.109384375817692	0.108617078045781	0.10808159518664	0.107655270400871	0.108519823109281	0.10834933661621	0	0	-1.70486493070915E-4	0	0.216869159725491	-1.70486493070915E-4	-0.00720088553249762	-5.2778186104134E-4
565.122	0.115030630536089	0.110799041668491	0.109380648562316	0.108624293897251	0.108077027751073	0.107666530349555	0.108523589455936	0.108350660824162	0	0	-1.72928631773622E-4	0	0.216874250280098	-1.72928631773622E-4	-0.0071177932972039	-5.35342087580224E-4
565.133	0.115021750944973	0.110792406688594	0.109372639172077	0.108609317605528	0.1080864048596	0.107670366924454	0.108521503048265	0.108347861232564	0	0	-1.73641815701134E-4	0	0.21686936428083	-1.73641815701134E-4	-0.00706558587909179	-5.37549919612819E-4
565.144	0.11501765548366	0.110775163344666	0.109386053186077	0.108594426760451	0.10810780702718	0.107665275441672	0.108525664313875	0.108351116893816	0	0	-1.74547420059262E-4	0	0.21687678120769	-1.74547420059262E-4	-0.00697529180008514	-5.40353435274916E-4
565.155	0.114987775728443	0.110785863404083	0.109409983606949	0.10859956722368	0.108102129282615	0.107660296652498	0.108535140129723	0.108350848253147	0	0	-1.8429187657619E-4	0	0.21688598838287	-1.8429187657619E-4	-0.00687945557769586	-5.70519739377383E-4
565.166	0.115021600892207	0.110780231560697	0.109393022151468	0.108606400430081	0.108103177876226	0.107674527850893	0.108533775001181	0.108354789153153	0	0	-1.78985848027252E-4	0	0.216888564154334	-1.78985848027252E-4	-0.00680414845724165	-5.54093654402241E-4
565.177	0.115018629333757	0.110777858280773	0.10941731405801	0.10862769954621	0.108064591796078	0.107674694671019	0.108546004364515	0.108346145671144	0	0	-1.99858693370594E-4	0	0.216892150035659	-1.99858693370594E-4	-0.00672571429925517	-6.18710557255389E-4
565.188	0.115028490557556	0.110775697441904	0.10936232537285	0.108640922254507	0.108079213915357	0.107668039041593	0.108515182207221	0.108360068084932	0	0	-1.55114122289399E-4	0	0.216875250292153	-1.55114122289399E-4	-0.0067106983100796	-4.80192997468955E-4
565.199	0.115017226120114	0.110780393128379	0.109346226491403	0.108628632730908	0.108080660656778	0.107665079565331	0.108505653028367	0.108354646693843	0	0	-1.51006334523973E-4	0	0.216860299722209	-1.51006334523973E-4	-0.0066896481862858	-4.67476354451978E-4
565.21	0.114993282806017	0.110763804266613	0.109374016455501	0.108595535531504	0.108097843092527	0.107646219538258	0.108510117996879	0.108346689312015	0	0	-1.63428684864062E-4	0	0.216856807308894	-1.63428684864062E-4	-0.00663312658835518	-5.05932721656811E-4
565.221	0.114970161112046	0.110774762235893	0.109382202631478	0.108585002098436	0.108088315044174	0.107640468604717	0.108511335618097	0.108336658571305	0	0	-1.74677046792346E-4	0	0.216847994189402	-1.74677046792346E-4	-0.0065930765135207	-5.4075472594138E-4
565.232	0.114973615930691	0.110780106775986	0.10936046221223	0.108595046482948	0.108063835826523	0.107652638642306	0.108506550427268	0.108329441154735	0	0	-1.77109272532172E-4	0	0.216835991582003	-1.77109272532172E-4	-0.00656290026407147	-5.48284264524265E-4
565.243	0.114992735252347	0.110751889521974	0.109363065376547	0.108607592771375	0.10806134699481	0.107658742228444	0.108510903802495	0.108334469883092	0	0	-1.76433919402919E-4	0	0.216845373685588	-1.76433919402919E-4	-0.00646652250881776	-5.46193546808174E-4
565.254	0.115006836429726	0.110758970544544	0.109385457022789	0.108607542364169	0.108077798077087	0.107654033009021	0.108519745015905	0.108342670220628	0	0	-1.77074795276788E-4	0	0.216862415236533	-1.77074795276788E-4	-0.00634643309576627	-5.48177531904675E-4
565.265	0.115002984498428	0.110766419250239	0.109390676941914	0.108599754705881	0.108079540812724	0.107628165374524	0.108509421158219	0.108339647759303	0	0	-1.69773398916689E-4	0	0.216849068917522	-1.69773398916689E-4	-0.00632041662814395	-5.255743069235E-4
565.276	0.114994099843856	0.110762374176287	0.10936570149818	0.108594954917822	0.108055317137951	0.107623270334093	0.108494485916136	0.108325136027886	0	0	-1.69349888249779E-4	0	0.216819621944023	-1.69349888249779E-4	-0.00634424360111623	-5.24263227999141E-4
