Energy,20221102_1642_Cr_22157b_75K_60deg_minus_0000,20221102_1646_Cr_22157b_75K_60deg_plus_0000,20221102_1649_Cr_22157b_75K_60deg_plus_0000,20221102_1653_Cr_22157b_75K_60deg_minus_0000,20221102_1656_Cr_22157b_75K_60deg_minus_0000,20221102_1659_Cr_22157b_75K_60deg_plus_0000,c+ H+,c- H+,c+ H-,c- H-,XMCD H+,XMCD H-,XAS,XMCD,XAS normalized by jump,XMCD normalized by XAS jump
eV,cminus fieldplus,cplus fieldplus,,,,,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units
,,,cplus fieldplus,cminus fieldplus,cminus fieldplus,cplus fieldplus,,,,,c-H+ - c+H+,c-H- - c+H-,,,LCOT (2T),2T
589.915,0.117363343023205,0.114352032264049,0.112991079170872,0.112366971343557,0.11184076945359,0.110943099443795,0.111967089307334,0.112103870398573,0,0,1.36781091239713E-4,0,0.0103238674013137,1.36781091239713E-4,0.154300942851781,-4.07001468301897E-6
589.926,0.117431532791055,0.114368736112553,0.112970690470024,0.112392797615986,0.111827085407923,0.110975835461516,0.11197326296577,0.112109941511955,0,0,1.3667854618496E-4,0,0.0103256079279452,1.3667854618496E-4,0.154377327251055,-4.49378061115433E-6
589.937,0.117394863460727,0.114354992620565,0.112956467008078,0.112361314333775,0.111831511530645,0.110923701012124,0.111940084010101,0.11209641293221,0,0,1.56328922109428E-4,0,0.0102683961473459,1.56328922109428E-4,0.154311450699801,4.27492784963068E-5
589.948,0.117382835862044,0.11433593230746,0.112977838135219,0.112346214394049,0.111764510816695,0.110932878602591,0.111955358368905,0.112055362605372,0,0,1.00004236466833E-4,0,0.0102321159341262,1.00004236466833E-4,0.154296085227949,-9.3347127511051E-5
589.959,0.117379731759302,0.114333677646162,0.112965846864709,0.112308454060024,0.111745571610109,0.110905901979262,0.111935874421985,0.112027012835067,0,0,9.1138413081393E-5,0,0.0101737779717151,9.1138413081393E-5,0.154227491027419,-1.14918026836138E-4
589.97,0.117366841278716,0.114330951927805,0.112944682419854,0.112327310355893,0.111776335081093,0.110893114472063,0.111918898445959,0.112051822718493,0,0,1.32924272534515E-4,0,0.0101711076339289,1.32924272534515E-4,0.154293231334983,-1.42586541845415E-5
589.981,0.117372213251416,0.114337003403457,0.112964998051691,0.112349034437085,0.1117884902884,0.110870504327349,0.11191775118952,0.112068762362742,0,0,1.51011173222221E-4,0,0.0101763957765537,1.51011173222221E-4,0.154378176675245,2.92114996074653E-5
589.992,0.117387399126466,0.114316011122757,0.112985650308316,0.112346459558861,0.111758969511023,0.110888972484999,0.111937311396658,0.112052714534942,0,0,1.15403138284398E-4,0,0.010169403910705,1.15403138284398E-4,0.154433488473412,-5.68924538655729E-5
590.003,0.117380440951265,0.114343965495228,0.112927208361014,0.112340058773499,0.111774877864863,0.110904861484459,0.111916034922736,0.112057468319181,0,0,1.41433396444624E-4,0,0.0101423769758366,1.41433396444624E-4,0.154440452580089,5.74623865729114E-6
590.014,0.11739213503969,0.114311848211588,0.112938485937088,0.112339407659258,0.111808380923198,0.110893108375474,0.111915797156281,0.112073894291228,0,0,1.58097134946786E-4,0,0.0101480609362423,1.58097134946786E-4,0.154526353089308,4.5782084026411E-5
