Energy	20221103_0419_Cr_22151b_75K_60deg_6T_minus_0000	20221103_0422_Cr_22151b_75K_60deg_6T_plus_0000	20221103_0426_Cr_22151b_75K_60deg_6T_plus_0000	20221103_0429_Cr_22151b_75K_60deg_6T_minus_0000	20221103_0433_Cr_22151b_75K_60deg_6T_minus_0000	20221103_0436_Cr_22151b_75K_60deg_6T_plus_0000	c+ H+	c- H+	c+ H-	c- H-	XMCD H+	XMCD H-	XAS	XMCD	XAS normalized by jump	XMCD normalized by XAS jump
eV	cminus fieldplus	cplus fieldplus					arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units
			cplus fieldplus	cminus fieldplus	cminus fieldplus	cplus fieldplus					c-H+ - c+H+	c-H- - c+H-		XMCD H+ - XMCD H-		
565.091	0.114869662880066	0.108716620870887	0.106928750576023	0.106491383970748	0.105942549464364	0.105230051757061	0.106079401166542	0.106216966717556	0	0	1.37565551014476E-4	0	0.212296367884098	1.37565551014476E-4	-0.00700775396059966	4.4520614506967E-4
565.102	0.114835274445946	0.108721333870934	0.106910319539673	0.106474171325803	0.105906173167729	0.105221439840305	0.106065879689989	0.106190172246766	0	0	1.24292556776595E-4	0	0.212256051936755	1.24292556776595E-4	-0.00706690836107708	4.02250488260232E-4
565.113	0.11485235847298	0.108749875455272	0.106917426826604	0.106472760612203	0.10588721591821	0.105249982352009	0.106083704589307	0.106179988265207	0	0	9.62836758997415E-5	0	0.212263692854513	9.62836758997415E-5	-0.00697085899953925	3.11604786695112E-4
565.124	0.114823001864781	0.108710762446472	0.106923925603134	0.106467580179887	0.105877608287003	0.105225954810082	0.106074940206608	0.106172594233445	0	0	9.7654026837063E-5	0	0.212247534440053	9.7654026837063E-5	-0.00695183189302295	3.1603968085065E-4
565.135	0.114846325825478	0.108706760515601	0.106870563034154	0.106477776077824	0.105922453477243	0.105249575213119	0.106060069123636	0.106200114777534	0	0	1.40045653897164E-4	0	0.21226018390117	1.40045653897164E-4	-0.00683957328240447	4.53232551649188E-4
565.146	0.114840997210953	0.108705518340094	0.106899432530768	0.106445891984588	0.105894315098854	0.105241568438618	0.106070500484693	0.106170103541721	0	0	9.96030570279E-5	0	0.212240604026414	9.96030570279E-5	-0.00683161911629333	3.22347366252176E-4
565.157	0.114830703272229	0.108710519965789	0.106902196400893	0.1064858164149	0.105869861157728	0.105224675983592	0.106063436192242	0.106177838786314	0	0	1.14402594071555E-4	0	0.212241274978556	1.14402594071555E-4	-0.00675812679393033	3.70243404086011E-4
565.168	0.114807690463427	0.10874247875855	0.106863711220695	0.106497753962372	0.105889257687864	0.105224255422981	0.106043983321838	0.106193505825118	0	0	1.49522503280278E-4	0	0.212237489146957	1.49522503280278E-4	-0.00669905804995873	4.83902668914359E-4
565.179	0.114800433980727	0.108720036777862	0.106858726256892	0.10647327410822	0.105897504965669	0.105212412197306	0.106035569227099	0.106185389536945	0	0	1.49820309845394E-4	0	0.212220958764044	1.49820309845394E-4	-0.00668123475238596	4.84866466259365E-4
565.19	0.114753083538816	0.108676859009728	0.106890631014169	0.106461024413928	0.10587162275535	0.105216200486246	0.106053415750207	0.106166323584639	0	0	1.12907834431214E-4	0	0.212219739334846	1.12907834431214E-4	-0.0066138603089723	3.65405883555801E-4
565.201	0.114753570584705	0.108689856215811	0.106905580755576	0.106439605734838	0.105892636989555	0.105213015856	0.106059298305788	0.106166121362196	0	0	1.06823056408217E-4	0	0.212225419667984	1.06823056408217E-4	-0.00652415602666632	3.4571359469972E-4
565.212	0.114789371771954	0.108703724885869	0.106893477791716	0.106456441080345	0.105896200957086	0.105255820797579	0.106074649294648	0.106176321018716	0	0	1.01671724067817E-4	0	0.212250970313363	1.01671724067817E-4	-0.00637014505530308	3.29042234781997E-4
565.223	0.114786136295011	0.108690141579219	0.106895455155616	0.106448112103713	0.105866143320802	0.105230531193968	0.106062993174792	0.106157127712258	0	0	9.4134537465887E-5	0	0.212220120887049	9.4134537465887E-5	-0.00639866276437606	3.04649486983073E-4
565.234	0.114750604200629	0.10868629656471	0.106886269535787	0.106441824795755	0.10586352502028	0.105196807039915	0.106041538287851	0.106152674908017	0	0	1.11136620166541E-4	0	0.212194213195868	1.11136620166541E-4	-0.00641118743716588	3.59673667393744E-4
565.245	0.114742659809766	0.108704997280576	0.106838517438212	0.106452526868715	0.105884970741236	0.105241319969409	0.10603991870381	0.106168748804976	0	0	1.28830101165323E-4	0	0.212208667508786	1.28830101165323E-4	-0.00629308774855618	4.1693543394969E-4
565.256	0.114762898848647	0.108702943693385	0.106850573450698	0.106454572179248	0.10589198458778	0.10522882030304	0.106039696876869	0.106173278383514	0	0	1.33581506644567E-4	0	0.212212975260383	1.33581506644567E-4	-0.00620782557935336	4.32312502565181E-4
565.267	0.114757368867739	0.108678763580856	0.106888991005852	0.106436386242849	0.105888638280012	0.105200649585231	0.106044820295542	0.10616251226143	0	0	1.17691965888692E-4	0	0.212207332556972	1.17691965888692E-4	-0.00615476626677461	3.80888863909407E-4
565.278	0.114734355909936	0.108667901999519	0.106898855673222	0.106451627657733	0.105879366007152	0.105189112807976	0.106043984240599	0.106165496832442	0	0	1.2151259184294E-4	0	0.212209481073041	1.2151259184294E-4	-0.00607649207471104	3.93253632125725E-4
