Energy,20221102_1710_Cr_22157b_75K_60deg_6T_minus_0000,20221102_1713_Cr_22157b_75K_60deg_6T_plus_0000,20221102_1717_Cr_22157b_75K_60deg_6T_plus_0000,20221102_1720_Cr_22157b_75K_60deg_6T_minus_0000,20221102_1723_Cr_22157b_75K_60deg_6T_minus_0000,20221102_1727_Cr_22157b_75K_60deg_6T_plus_0000,c+ H+,c- H+,c+ H-,c- H-,XMCD H+,XMCD H-,XAS,XMCD,XAS normalized by jump,XMCD normalized by XAS jump
eV,cminus fieldplus,cplus fieldplus,,,,,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units
,,,cplus fieldplus,cminus fieldplus,cminus fieldplus,cplus fieldplus,,,,,c-H+ - c+H+,c-H- - c+H-,,6T,LCOT (6T),6T
571.731,0.0976386987881061,0.0978236310164257,0.0981198747968888,0.0977193195525779,0.0966433398840493,0.0953078216679777,0.0970837758270974,0.0973337860749111,0,0,2.50010247813695E-4,0,-0.00914509243640796,2.50010247813695E-4,-2.3200665856183E-4,1.06942232410757E-5
571.743,0.0976302986047708,0.0978000598510085,0.0981331060467297,0.0976934255394282,0.0966295300015685,0.0953525348590711,0.0970952335856031,0.0973177513819225,0,0,2.22517796319433E-4,0,-0.00916023550123371,2.22517796319433E-4,-1.93012477622324E-4,-5.59533652236171E-5
571.755,0.0976172709564984,0.0978246270128387,0.0981108337657798,0.0976825768390518,0.0966424367585005,0.0953251819613493,0.0970868809133226,0.0973140948513502,0,0,2.27213938027659E-4,0,-0.00918281083442918,2.27213938027659E-4,-1.72084807766408E-4,-4.43562581374808E-5
571.767,0.0976207892384382,0.0977941876615694,0.0981130057698625,0.0977029356386298,0.0966157365850196,0.0952900390267727,0.0970657441527349,0.0973131538206959,0,0,2.47409667960982E-4,0,-0.00921545475601401,2.47409667960982E-4,-1.75632070013702E-4,4.91756735031897E-6
571.779,0.0976354170119637,0.0977977212316234,0.0981233386176947,0.0976789074418991,0.0965602076642035,0.0953201930716393,0.0970804176403191,0.0972915107060221,0,0,2.11093065702939E-4,0,-0.00923299051344625,2.11093065702939E-4,-1.42454095560176E-4,-8.31799485984156E-5
571.791,0.0976061212582846,0.097792314846745,0.098106372092933,0.097674503525867,0.0965947902964786,0.0953061464344241,0.0970682777913673,0.0972918050268767,0,0,2.23527235509391E-4,0,-0.00925540217188622,2.23527235509391E-4,-1.21128561735798E-4,-5.27730833814822E-5
571.803,0.097601671262866,0.0977869704721028,0.0981050862099739,0.0977049103691053,0.096609749246816,0.0952799457260227,0.0970573341360331,0.0973054436262625,0,0,2.48109490229354E-4,0,-0.00926327335817739,2.48109490229354E-4,-6.44577486296033E-5,7.16359693497207E-6
571.815,0.0976039378890658,0.0977671105802632,0.0981111766724381,0.0976820926412249,0.0965669435434483,0.0952914928534074,0.0970565933687029,0.0972843246912464,0,0,2.27731322543445E-4,0,-0.00929569919086654,2.27731322543445E-4,-6.74748758958085E-5,-4.21904438699914E-5
571.827,0.0976030243978828,0.0977913327276554,0.0980947517747154,0.097647350490402,0.0965693755732941,0.0953127502033167,0.0970662782352292,0.0972732501538596,0,0,2.06971918630478E-4,0,-0.0093076549920697,2.06971918630478E-4,-2.0733028874892E-5,-9.24712015504528E-5
571.839,0.0975931484558861,0.0977915848818736,0.0980756840197676,0.0976695738459128,0.096593825454348,0.0952937921262058,0.0970536870092824,0.0972855159187157,0,0,2.31828909433296E-4,0,-0.00931854658350326,2.31828909433296E-4,2.85957211813443E-5,-3.18666871032955E-5
571.851,0.0976075740632917,0.0977757408741458,0.0980688585822364,0.0976924050525588,0.0965516525247776,0.0952994841007301,0.0970480278523707,0.0972838772135427,0,0,2.35849361171936E-4,0,-0.0093364105759306,2.35849361171936E-4,6.09758152460252E-5,-2.19120611167371E-5
571.863,0.0976053703888185,0.0977832056279306,0.0980976826396748,0.0976651452579446,0.0965445822199561,0.0953009473776015,0.0970606118817356,0.0972716992889064,0,0,2.11087407170824E-4,0,-0.00934657060154476,2.11087407170824E-4,1.12082870568583E-4,-8.19223000175689E-5
571.875,0.0975923590663718,0.0977948520428078,0.0980339971217196,0.0976909770307512,0.0965807151571216,0.0952210703117827,0.0970166398254367,0.0972880170847482,0,0,2.7137725931152E-4,0,-0.0093847909923446,2.7137725931152E-4,9.49802120585234E-5,6.48131438068492E-5
571.887,0.0975714412090356,0.097796057547999,0.0980199414670887,0.0976795208124846,0.0965745115986594,0.095256501570013,0.0970241668617002,0.0972751578733932,0,0,2.50991011692972E-4,0,-0.00940068929777887,2.50991011692972E-4,1.3213853856658E-4,1.5439462135151E-5
571.899,0.0975938349663052,0.0977830374110996,0.0980507090834686,0.0976733504623161,0.096561650891409,0.0952607853390473,0.0970315106112052,0.0972762787733435,0,0,2.44768162138268E-4,0,-0.00940279077866638,2.44768162138268E-4,2.02834470443517E-4,4.94460291090588E-7
571.911,0.0975984151898497,0.0977750056692005,0.0980636218426261,0.0976428034781154,0.0965699974817624,0.0952371017146161,0.0970252430754809,0.0972704053832425,0,0,2.45162307761601E-4,0,-0.0094254978348344,2.45162307761601E-4,2.23441945384273E-4,1.6341866583558E-6
571.923,0.0975638337710869,0.0977889551820308,0.0980678826120129,0.097636920568028,0.0965597187361176,0.0952486870055962,0.0970351749332133,0.0972534910250775,0,0,2.18316091864193E-4,0,-0.00944304646560973,2.18316091864193E-4,2.56588627050191E-4,-6.34425190028593E-5
571.935,0.0975690694586442,0.0977935498071271,0.0980876441765834,0.0976495587619275,0.0965288006076392,0.0952779570991483,0.0970530503609529,0.097249142942737,0,0,1.96092581784046E-4,0,-0.00944008525055343,1.96092581784046E-4,3.39591064536575E-4,-1.17282256120051E-4
571.947,0.0975915527409859,0.0977782870289409,0.0980523282585568,0.0976271402361059,0.0965502901278386,0.0952391791947141,0.0970232648274039,0.0972563277016435,0,0,2.3306287423952E-4,0,-0.0094732521555386,2.3306287423952E-4,3.3477252346377E-4,-2.72324784405123E-5
